"filename", "language", "Markdown", "JSON", "JavaScript", "JSON with Comments", "Properties", "XML", "pip requirements", "Batch", "Python", "PowerShell", "comment", "blank", "total"
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\pkg_resources\_vendor\pyparsing\unicode.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 277, 0, 32, 44, 353
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\pkg_resources\_vendor\pyparsing\util.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 154, 0, 35, 47, 236
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\pkg_resources\_vendor\zipp.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 146, 51, 330
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\pkg_resources\extern\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 15, 13, 77
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 126, 32, 248
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_deprecation_warning.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 1, 8
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 13, 5, 25
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\_collections.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 33, 8, 57
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\_functools.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 9, 5, 21
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\_macos_compat.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 5, 13
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\_msvccompiler.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 400, 0, 89, 84, 573
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\archive_util.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 180, 0, 57, 44, 281
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\bcppcompiler.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 260, 0, 86, 63, 409
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\ccompiler.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 591, 0, 497, 133, 1221
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\cmd.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 200, 51, 437
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\command\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 4, 2, 26
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\command\_framework_compat.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 10, 11, 56
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\command\bdist.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 20, 27, 158
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\command\bdist_dumb.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 8, 19, 145
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\command\bdist_rpm.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 474, 0, 67, 75, 616
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\command\build.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 25, 27, 154
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\command\build_clib.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 41, 39, 209
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\command\build_ext.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 453, 0, 241, 94, 788
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\command\build_py.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 254, 0, 99, 55, 408
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\command\build_scripts.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 25, 27, 174
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\command\check.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 21, 21, 152
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\setuptools\_distutils\command\clean.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 9, 12, 77
